Item ID,Sentiment,SentimentText,Category
51,4,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr,Others
52,3,@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17,Food
53,0,"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia",Food
54,4,@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time,Others
55,5,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTENâ¦ https://t.co/2h0v7KWzgy,Others
56,4,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update.",management
57,5,@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..,management
58,4,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is nâ¦ https://t.co/Ig9TPufytc,Others
59,5,@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?,management
60,4,@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?,management
61,2,@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter,Others
62,5,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains.",management
63,0,"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help",Others
64,5,@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff,management
65,5,"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold.",management
66,4,"@RailMinIndia @sureshpprabhu incorrect TDR claim prcsd..rqst hve a look TDR no. 100000105731626, train 3+ hr late https://t.co/BBStWoiDpe",management
67,4,"@RailMinIndia sir,train is 4 hrs late .train no is 15623.I have also to attend the train guwahaty naharlagun intercity express for itanagar.",management
68,5,@sureshpprabhu @RailMinIndia Train no. 12344 Coach B3. TT accepted bribe &amp; allotted seats to W/L passengers instead of RAC seats.@gm_nfr,management
69,7,@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,Others
70,5,@sureshpprabhu @RailMinIndia @narendramodi screen img @06.46 am 09.06.2016 FYR. No TatkaL quota without opng. GREAT! https://t.co/8YpfwlbzRt,Others
71,6,@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusersâ¦ https://t.co/jLmGKbbWyO,Others
72,4,RT @KARailway: Provide 1min stoppage for Karnataka Sampark Kranthi at #Haveri @DrmMys @GMSWR @RailMinIndia @PiyushGoyalOffcâ¦ ,Others
73,4,"@RailMinIndia ????? ???? 22415 , current location ????????? , B6 coach , AC ???? ?? ???, ??? ??? ??? ????",Others
74,5,@RailMinIndia amount debited but reservation failed. Request support  and pay back of entire amount https://t.co/9pH2Vft28L,Others
75,6,@sureshpprabhu Pls consider having more nos western toilets in 2/3 Ac coaches as many elderly travel who hv  problems. @RailMinIndia Thnx,Unhygienic
76,5,@sureshpprabhu @RailMinIndia I am a mother travelling with a 6 month kid is given an upper berth instead of providing the details of baby.,Others
77,6,@sureshpprabhu @RailMinIndia thanks for give attention on meerut 2 saharanpur railway line ..,Others
78,6,@RailMinIndia @sureshpprabhu many will be benifited thanks a lot sir,Others
79,0,@RailMinIndia  traveling in 12506 dt 11/06/16  in S3 toilets fully dirty and no water in toiletKindly arrange help urgentlyPNR 264-7351440,Unhygienic
80,4,@RailMinIndia train time changed not informed family stuck in Mangalore. Pls add time  to sms https://t.co/38vnoZVOHC,Others
81,5,@RailMinIndia @sureshpprabhu I had heard that irctc will not charge Service charge from 1/6/16 on online ticket but u r still deducting!!!!!,management
82,5,"@RailMinIndia tatkal service is d biggest garbage. Plz close this service,@11:05 website is not working,showing an error.",management
83,5,@RailMinIndia @sureshpprabhu I got my ticketThanku  problem solved by CERS Bilimora PRS. I withdraw my complaint.. https://t.co/TKisGN6uNY,management
84,5,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357",Others
85,0,"@RailMinIndia I am traveling by train no 12590 coach no S-8, fans are not working i had told this  at last station but no one attended.",management
86,4,@RailMinIndia concern over the late running of 14205 n 14206. Never reaches in time at either of station. Pl check ur data. A real concern,management
87,0,"@RailMinIndia travelling in train no 18623,Pnr 6252708712 1st class b coach, paid around 1700,  AC is not working properly@sureshpprabhu",Others
88,5,@RailMinIndia How it possible in Tatkal that all the 256 Available Garib Rath seats r booked within 1.5 min.? Is there any hidden tricks?,management
89,6,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it toâ¦ ,Others
90,5,"@sureshpprabhu Sir, need ur kind assistance. A cancer patient hs a tatkal ticket of status CKWL/19,20. Can u plz do something? @RailMinIndia",management
91,3,@RailMinIndia Hello sir mai is time malwa express train number 12919 me hu abhi vendor se khane ke rate pucha usneâ¦ https://t.co/fJBoC3R5yR,Others
92,4,@RailMinIndia Pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at Barelliye,management
93,4,@RailMinIndia Travel wth my mother can't walk properly. Can the PTB stoppage be extended by 2 mins PNR No. :2118501258Train No. 12618.,Others
94,1,"@RailMinIndia  Sir, We lost a mobile with bearing No 9442455386 while travelling in Pothigai express Train No 12661 today at 5.15 am",Others
95,6,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken,Others
96,7,"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",Others
97,5,@RailMinIndia I ask city police constable allowed without ticket and without authority in any coach in train,management
98,6,"@RailMinIndia @SRailwayIndia Janani Sewa launched-Infant food now available at NVRR Platform-2,Palakkad Jn. https://t.co/fAS6JdTbgu",Food
99,0,@RailMinIndia  Dear sir...AC of sabarmati express is not working since last 4 hours.. Please do the needful.PNR 2864717564,Others
100,5,@RailMinIndia there is no any intimation by railway about the tatkal ticket cancelation PNR n-2319127483 Trn n12430 96964500028004198641,management
101,5,"@RailMinIndia sir my train ticket is not comform from Abu Road to Mumbai, my mother is sick, plz help sirPNR NO 2217892889DOJ 9.6.16",management
102,5,@RailMinIndia Sir...........I am trying to make tickets from new delhi to darbhanga(Bihar) from last week not getting confirm.please help,management
103,3,@sureshpprabhu @RailMinIndia  sir train no 12488 have no Pantry Car....and important thing is that it is long route train....,Others
104,5,@RailMinIndia got double tatkal tickets cnfrmd through same Login costing 12k technical issue costed double[IRCTC #3515189] @drmsecunderabad,management
105,3,"@RailMinIndia @sureshpprabhu our pnr is 8403479266 food is pathetic, water is not cool, cold drings is warm and sandwitch is stale....",Food
106,6,"@RailMinIndia Thanks for UTS app for facilitating hassle free travel, but it's good to provide training for TC's also.@BhargavaTadi",Others
107,1,hanging chains of the middle berth broken  pnr 4512791357,Damage
108,4,@sureshpprabhu @RailMinIndia if you have delayed for me then thank you so muchBoarded on train thank you so much again,management
109,0,@sureshpprabhu @RailMinIndia @gmner_gkp @DRM_ASN Train 15047  light are not working passengers are suffering #Help https://t.co/6fnIJV8Vga,Others
110,5,@RailMinIndia PNR NO. 6107451949,Others
111,6,@RailMinIndia... security lags at delhi sarai Rohilla Rly stn... No checking... Xray scnr ws der but no body to operate that,Others
112,4,@sureshpprabhu @RailMinIndia booked ticket for 14312 ADI to JP. Train is late by more than 8 hrs. Want to cancel the reservn bt not allowng,management
113,0,@RailMinIndia @sureshpprabhu 18546 East cost express sleeper class S9 toilet is too smelling from source station.,Unhygienic
114,4,@RailMinIndia unable to trace my Parcel from delhi. I m from cbe. Parcel off staff have no idea whether material loaded or not. Wat do i do,management
115,5,14316 TTE comes only after hapur stn when majority of ticketless passengers have deboarded. It's useless to buy ticâ¦ https://t.co/aNSeZwgOwT,management
116,2,@RailMinIndia we are traveling in 19806 we have child who is vomiting much and water is not in any coach. Plz fill water in coaches and help,Food
117,6,@RailMinIndia @khushalvakharia Thatâs poor railways.poor very poor.,Others
118,0,@RailMinIndia sir ye sab hal habibaganj station (m.p) Bhopal ka hai toilet ka hai https://t.co/qXotLh1TtX,Unhygienic
119,0,"@RailMinIndia @sureshpprabhu PNR - 6756068777, AC not working, dirty towel and pillow cover.",Unhygienic
120,0,@RailMinIndia - fan not working on 12673 Cheran Express S11 70,Others
121,5,"@RailMinIndia I'm Cancer Pt When I booked   tkt fr checkup with my brother as escort,they say no possiblities of tkt fr my daugh 6yr(1/2 tkt",Others
122,4,@RailMinIndia @sureshpprabhu I'm a passenger in Aleppey-Chennai Superfast train. Hoping to catch at least last bus. :(#indianrailwaydelay,management
123,3,"@RailMinIndia Dear sir, The food served in most of shatabdi trains is substandard ,dal and paneer is tasteless.",Food
124,0,@RailMinIndia there is huge huge scope to improve #train bathroom.. they r extremely dirty &amp; spread germs @sureshpprabhu #mumbai #india,Unhygienic
125,3,@RailMinIndia @sureshpprabhu at patna jn pf- 3 shop exprss food delvry chargng 20 rs for 15 rs water bottle.pls take action. PNR:6553173362,Food
126,1,@RailMinIndia Train about to arrive window clerk  Sadhana Sharma goes missing https://t.co/IowsfPtApN,Others
127,5,"@IRCTC_Ltd @RailMinIndia @PiyushGoyalOffc If your clerk can give tickets than why he is not giving, why u advertisiâ¦ https://t.co/teieqXvILl",management
128,5,"@RailMinIndia Sir i m ankit singh previous day i had booked a ticket in tatkal quota but i get wt list please help me, Pnr no 6453141801",management
129,1,"@RailMinIndia @AbhayOjhaIn @atulmishrag1981 Sir,said missing person could not be traced despite best effort.Pl lodge missing report with GRP",Others
130,4,@RailMinIndia PNR4740479198 coaches D1 and D2 are missing in the train. Please check it. Because of this I had to miss the train,Others
131,4,@RailMinIndia I have a booking in Train Number 07006 RXL-HYB special from Gaya but when I want to see the current sâ¦ https://t.co/iI4vB2JJ8S,Others
132,5,"@RailMinIndia Now, refund of ?780 only will be credited to my account soon, where is balance amount of ?143?Why this much of amount will...",Others
133,7,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL",Others
134,4,@drm_apdj @RailMinIndia 12378 really shameful almost after 1 he train has departed from source and in 1st tweet traâ¦ https://t.co/lPUA5R1kqf,Others
135,6, User id: macrohit Date of booking : 28-11-17,Others
136,1,"@RailMinIndia I'm travelling in 64563 at present, no security man here nd gents are travelling in ladies coach. Train is abt 2 reach morinda",Others
137,3,"@RailMinIndia , availability is less and requirement is high, but food vendor is not provoded proper response. Every item 5,10 rupees extra",Food
138,6,Scenic #IndianRailways near #Igatpuri on #Mumbai - #Nasik route. #ThullGhat #KamayaniExpress @RailMinIndiaâ¦ https://t.co/nnkI29oaEL,Others
139,5,@RailMinIndia Unable to file TDR of my PNR NO - 8535014323 in last hour. Allowing wrong thing for TC,Others
140,0,"@RailMinIndia travlng by 12328 trn Bi coach, surprised to find one toilet under lock n key. As such no word of cleanliness prevail in train",Unhygienic
141,6,@RailMinIndia i feel like it will work as intercity trains carry maximum job proffessionals who have to reach office neat and clean,Others
142,2,@RailMinIndia need medical assistance in train 12554 pnr is 2417720180,Others
143,3,many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry ,Others
144,5,@sureshpprabhu trying to book a tatkal ticket from last 3 day but daily same problem exist. Please do some needful @RailMinIndia,management
145,6,@drmdelhi @RailMinIndia @srdomchgdli No reply..,Others
146,0,"@sureshpprabhu @RailMinIndia .. be it sleeper or AC, broken windows, rats and cockroaches moving freely, dirty old curtains and bed... (4)",Damage
147,3,@RailMinIndia @sureshpprabhu at TNDE railway station water cooler not working and not a single source of water a hell of service In 45C,Food
148,0,@RailMinIndia it's 20:40 train is in kota but no one contacted or solves the Airconditioner matter in 12218 A1,Others
149,1,@RailMinIndia When Evrythng of Railways is going 2 d Next Level y not Security Guard?Ur Fairly Place Kol ofc Securities r rude n misbehaved,Others
150,7,"@RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",Others
151,4,RailMinIndia @bbiswajit88 Details not available pls.,Others
152,5,"@RailMinIndia No one is able to make TATKAL TICKETS except brokers at JPG station,take an immediate action now. railway staffs are with them",management
153,6,RT @RailMinIndia: Passenger traffic has also shown significant growth in Reserved &amp; suburban segments.Over  5Cr additional passengersâ¦ ,Others
154,4,"@DRMbhopal @RailMinIndia @BhusavalDivn Train departed from itarsi but concerned is delay, what if I miss flight dueâ¦ https://t.co/UyQIYzIFcJ",management
155,7,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this,Others
156,0,@RailMinIndia PNR-2118939314Trn:12616Dt:10-06-2016Frm NGP to CD AC IS NOT WORKING FROM LAST HALF &amp; HOUR,Others
157,1,"@RailMinIndia 2 bags with valuables stolen. How safe is travel on Indian Rail! PNR-8145511I31,8345511270 @sureshpprabhu",Others
158,1,@CIDCO_Ltd @RailMinIndia @PiyushGoyal @PiyushGoyalOffc No light @Rabale stn plz check https://t.co/rvIz9LYKCF,Others
159,4,@sureshpprabhu @RailMinIndia Sealdah Delhi Rajdhani 12313 is running 3 hrs late. Pls do something abt it as its urgent to reach Delhi.,management
160,6,@RailMinIndia @sureshpprabhu Brave work of RPF soldier at Railway Station - https://t.co/LjwyH2XDYM https://t.co/UkvbP3is4O,management
161,4,@RailMinIndia @sureshprabhubjp Sir 12944 is running late by 1 and half hour..please help us,management
162,7,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but couâ¦",Others
163,0,So this is what India railways looks like. Can't get any better !! @IRCTC_Ltd @IndianRailMedia @RailMinIndiaâ¦ https://t.co/BKKYAL68oY,Others
164,7,@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI,Others
165,5,@RailMinIndia current booking thr wr only 2 seat in ac2 so cant get confirmed..current booking wtng 1 in ac 2,management
166,6,"@RailMinIndia Look outside the boundary wall of Old Delhi Rly Stn.  Mess. by vendors, accumulated garbage, traffic jam , unusable urinals.",management
167,5,@RailMinIndia Even though we reach early and wait whole night outside post office for booking Tatkal Tkt we don't get it. But agents do.,Others
168,1,"@RailMinIndia @sureshpprabhu phone robbed by""kinnar"" at mehboobnagar;""RPF &amp; TT"" REFUSED for proper help.""Need Help""",Others
169,2,"@RailMinIndia  my wife is travelling by 12310 rajdhani, B3 56, she is having unbearable pain in stomach,needs medical assistance 138 nt wrkn",Others
170,5,@RailMinIndia COMPLAINT NO.ticket ID: [IRCTC #3513198] KO CHECK KARKE PLEASE RESOLVE MY PROBLEM..    SHANKER NARYANI MB.8960095188,management
171,3,@sureshpprabhu @RailMinIndia @Rajeshbhargav19 Neither cooler working at Platform no 1RE nor water available in tap https://t.co/YJiWMK01yz,Food
172,5,"@RailMinIndia @drmbct traveling with wife and 2 kids, can you help with berth allotment.. booked tickets",management
173,2,"@RailMinIndia @RailMinIndia Sir A couple traveling to SC by train 07092 with 2yr old kid  Due to train delay,milk tâ¦ https://t.co/KPcfVD4rkz",management
174,5,"@RailMinIndia @sureshpprabhu  sir, irctc site is completely down since 11 at the time of tatkal. Disappointed .",Others
175,6,@DRM_BVP @ARM_SRC @drmkgp @RailMinIndia @sdmebvp1 Cleaning staff is now cleaning coach's floor in regular intervals,management
176,4,@RailMinIndia @sureshpprabhu rain no.  05514 worst den summer special we r geting this kind of suvida in suvidha train mre den 8hrs late,management
177,1,@sureshpprabhu @RailMinIndia @drm_raipur No security for passengers on tarin Theft- chennai bilaspur express - 7june Fir filed lost valuable,Others
178,3,@RailMinIndia launches optional catering scheme in two premier trainshttps://t.co/JS5GPqU4To,Food
179,6,@drmjabalpur @DRMbhopal @RailMinIndia @drmncrald @BhusavalDivn @PiyushGoyal It's not the solution,Others
180,0,@railminindia @sureshpprabhu  can't even use the restroom as the corridor is full of Unreserved passengers. Please help ASAP.2/2,Others
181,6,RT @RailMinIndia: Member Traffic reviewed the April- Nov transportation  performance with Rly Board and Zonal Rly Officers and passedâ¦ ,Others
182,5,"@RailMinIndia change in name of E-Ticket passenger PNR No:4320260809 at Kurnool (KRNT),stating that 3 days required but rule is 24 hrs.",management
183,6,@drmsbc @RailMinIndia @srdensbc sir what is the update who has reviewed as  I do not see any action taken pl visit n take action,Others
184,3,@sureshpprabhu kindly add water bottle in e catering menu. While I order a food of rs40 face problem coz min order amnt is 60. @RailMinIndia,Food
185,7,@RailMinIndia @KaliaAjit @IR_ENHM Pls look into the matter @AmbalaCnW,Others
186,6,RT @sureshpprabhu: Holistic strategy to ensure growth https://t.co/YpOs5ZShmF,Others
187,6,@RailMinIndia Didnt expect such a service from Rajdhani after travelling Sampoorna kranti where service was fantastic.,management
188,0,@RailMinIndia @sureshpprabhu traveling in train no 12493 from pune. No cleaning services. Mosquito n flies in comprtmnt. Plz tkaction,management
189,0,@RailMinIndia Jbp pltfrm no.6 .This mess looks bad on an otherwise clean platform. https://t.co/peTDdynqVB,Others
190,5,@RailMinIndia  pathetic satitution in Viashali Ex B112554.commercial staff allows  general tkt passanger in coach after takeing bribe Urgent,management
191,5,@RailMinIndia @drm_apdj I am facing trouble to name change of My fathers ticket to my name as per rule in NCB &amp; COB https://t.co/c2B2oawTYE,management
192,3,"@sureshpprabhu @RailMinIndia I ordered food through irctc catering from cumshum vendor to luk station, I didn't got food till now, hving kid",Food
193,3,"@RailMinIndia &amp; @drmbrcwr, Pantry car ppl of Train number 12493 are overcharging on food and not providing Menu card. PNR 8535323910, B1 13",Food
194,5,@RailMinIndia we are given best suggestions and solutions for Indian railway always confirmed rail tickets and connecting each other Indian,management
195,5,@RailMinIndia thank u so much sir...my money has been refunded,management
196,7,@drmncrald @abhineet_hit @RailMinIndia @PiyushGoyal @PMOIndia sorry for inconvenience.your complaint will attended at CNB/STN.,Others
197,4,@RailMinIndia why train status not shown on NTES when train is running delay b/w Mughalsarai and Allahabad. Much frustrated.,management
198,5,@sureshpprabhu @RailMinIndia Ijust wanna tl.that please make a strong server for irctc site.many times while booking a ticket.server goes.,management
199,6,@rpfcr @RailMinIndia @DrmSolapur @rpfcrsur HOW MANY MORE INNOCENT PEOPLE WILL HAVE TO #SUFFERING THIS KIND OFâ¦ https://t.co/NAYpG2Q3VH,Others
200,4,"@RailMinIndia @RailwayNorthern @PiyushGoyalOffc this winter no fog now a days, still so late trains. It looks staffâ¦ https://t.co/x0ATy1Fd28",management
201,0,@RailMinIndia train 17211 on 8 june from gnt to ypr. dirty water in train. complaint to TC but no use. plz take action,Unhygienic
202,0,@RailMinIndia train no 12554. Seat no A2 17. The charging socket is not working. My pnr no is 2865448765.,management
203,5,"@RailMinIndia @sureshpprabhu Can't even log in at tatkal time...why don't you increase bogie in Howrah Jamalpur express,disappointed",Others
204,7,"@RailMinIndia @abhinavchabria Sir, u r laptop could not be traced despite best efforts. Thanks for calling us.",Others
205,5,@drmhyb @niraj1712 @SBKULAL @drmgtl @srdom_sc @phanipeddapall1 @drmsecunderabad @riyaj_ali @KantuleSanjay @drmnedâ¦ https://t.co/ikYQ8CYcY0,Others
206,4,@DRMbhopal @RailMinIndia @BhusavalDivn Could u all confirm at what time train will be reaching mumbai? @PiyushGoyalâ¦ https://t.co/Ko6SMCV4My,Others
207,6,@RailMinIndia Sir want to set up rail neer bottling plant in Jaipur or nearby area. Could you let me know the process of this?,Others
208,4,@RailMinIndia @bbiswajit88 Details not available pls.,Others
209,5,"@RailMinIndia Dear Sir,Ticket with PNR-2119096244 was booked after paying ?923 &amp; automatically  cancelled due to non-availability of berths",management
210,6,"RT @aub2886: Win *FIFTY* #YA &amp; #NewAdult #UF #Fantasy, #Paranormal #Romance #PNR, &amp; #Dystopian, #ebooks or #paperbacks https://t.co/5UbyPKwâ¦",Others
211,6,@RailMinIndia @sureshpprabhu IS IT TRUE that ALP willb retired @age 55 instead of usual 60? This would be gross injustice if true @PMOIndia,Others
212,5,@RailMinIndia @sureshpprabhu you sud see how IRCTC functions at tatkal hours.people are suffering and are forced to pay 2k above to agents,Others
213,7,@RailMinIndia @ankulaagarwal @TVC138 @IR_EDMECHG @crsechgsrly Matter informed to concern officials @CCRBCT @srdmebct .Regards,Others
214,5,@sureshpprabhu @RailMinIndia I booked a ticket in Nizamuddin Eranakulam Duronto and PNR is 2647352639 and current status is CKWL2,management
215,0,"@RailMinIndia Pay&amp;use toilets on narkatiagnj jn pltfrm #2 overchrging fr toilet n urinte as Rs 8, there are no free toilts faclity on statn.",Unhygienic
216,1,@RailMinIndia @sureshpprabhu Urgent Depute lady security force S4 seat 41-48 Ramnagar Exp 19061 Approaching Bharuch .,management
217,0,@sureshpprabhu @RailMinIndia i am in pune nizamudin duranto.There is water dropping in B5 toilet.Attended said it's like that only.,Unhygienic
218,3,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is nâ¦ https://t.co/Ig9TPufytc,Others
219,7,"@RailMinIndia @SCRailwayIndia Sir, Sri Mohd. JAMSHED MT, @AshwaniLohani Sri P.GUHA PRINCIPAL ED(Coachg) ð KINDLY REâ¦ https://t.co/MMlMoPJsmA",Others
220,0,@RailMinIndia travelling to surat to kanpurTrain no 02534 very bed condition of washbasin no water plz take step https://t.co/KEpQ1koHT0,Food
